2025-09-26 19:48:29 | ERROR    | __main__ | dashboard.py:92 | get_portfolio_overview() | Error getting portfolio overview: Execution failed on sql 'SELECT * FROM positions': no such table: positions
2025-09-26 19:48:29 | ERROR    | __main__ | dashboard.py:735 | get_performance_data() | Error getting performance data: Execution failed on sql 'SELECT * FROM performance_metrics ORDER BY timestamp ASC': no such table: performance_metrics
2025-09-26 19:48:29 | ERROR    | __main__ | dashboard.py:135 | get_trades_data() | Error getting trades data: Execution failed on sql 'SELECT * FROM trades ORDER BY created_at DESC LIMIT 50': no such table: trades
2025-09-26 19:48:29 | ERROR    | __main__ | dashboard.py:118 | get_positions_data() | Error getting positions data: Execution failed on sql 'SELECT * FROM positions ORDER BY updated_at DESC': no such table: positions
2025-09-26 19:48:30 | ERROR    | __main__ | dashboard.py:118 | get_positions_data() | Error getting positions data: Execution failed on sql 'SELECT * FROM positions ORDER BY updated_at DESC': no such table: positions
2025-09-26 19:48:30 | ERROR    | __main__ | dashboard.py:135 | get_trades_data() | Error getting trades data: Execution failed on sql 'SELECT * FROM trades ORDER BY created_at DESC LIMIT 100': no such table: trades
2025-09-26 19:48:30 | INFO     | __main__ | dashboard.py:214 | get_historical_trades_data() | Loaded 194 trades from /Users/nagashankar/pythonScripts/OWS/tradebook-ZI6046-FO.csv
2025-09-26 19:48:30 | INFO     | __main__ | dashboard.py:214 | get_historical_trades_data() | Loaded 49 trades from /Users/nagashankar/pythonScripts/OWS/historical_trades/tradebook-ZI6046-FO-2022.csv
2025-09-26 19:48:30 | INFO     | __main__ | dashboard.py:214 | get_historical_trades_data() | Loaded 194 trades from /Users/nagashankar/pythonScripts/OWS/historical_trades/tradebook-ZI6046-FO-2021.csv
2025-09-26 19:48:30 | ERROR    | __main__ | dashboard.py:735 | get_performance_data() | Error getting performance data: Execution failed on sql 'SELECT * FROM performance_metrics ORDER BY timestamp ASC': no such table: performance_metrics
2025-09-26 19:48:30 | ERROR    | __main__ | dashboard.py:118 | get_positions_data() | Error getting positions data: Execution failed on sql 'SELECT * FROM positions ORDER BY updated_at DESC': no such table: positions
2025-09-26 19:48:30 | ERROR    | __main__ | dashboard.py:92 | get_portfolio_overview() | Error getting portfolio overview: Execution failed on sql 'SELECT * FROM positions': no such table: positions
